"GEOID","NAME","S0101_C01_002","S0101_C01_003","S0101_C01_004","S0101_C01_021"
"28672","ZCTA5 28672",0,0,0,0
"28673","ZCTA5 28673",206,150,296,241
"28675","ZCTA5 28675",264,412,200,167
"28676","ZCTA5 28676",27,64,79,169
"28677","ZCTA5 28677",2045,2763,2155,1599
"28678","ZCTA5 28678",185,316,379,299
"28679","ZCTA5 28679",127,144,75,103
"28681","ZCTA5 28681",1080,1245,1638,884
"28682","ZCTA5 28682",33,162,32,8
"28683","ZCTA5 28683",128,107,45,25
"28684","ZCTA5 28684",23,40,129,49
"28685","ZCTA5 28685",134,120,175,48
"28689","ZCTA5 28689",146,100,212,188
"28690","ZCTA5 28690",332,464,448,373
"28692","ZCTA5 28692",162,344,75,89
"28693","ZCTA5 28693",53,50,177,30
"28694","ZCTA5 28694",327,282,185,428
"28697","ZCTA5 28697",518,625,1269,624
"28698","ZCTA5 28698",106,214,89,11
"28701","ZCTA5 28701",224,316,446,168
"28702","ZCTA5 28702",99,42,21,0
"28704","ZCTA5 28704",1289,1310,1317,905
"28705","ZCTA5 28705",179,270,431,176
"28707","ZCTA5 28707",33,54,0,0
"28708","ZCTA5 28708",9,17,5,32
"28709","ZCTA5 28709",191,119,39,78
"28710","ZCTA5 28710",0,0,0,0
"28711","ZCTA5 28711",365,615,304,287
"28712","ZCTA5 28712",622,858,648,610
"28713","ZCTA5 28713",331,418,516,313
"28714","ZCTA5 28714",875,798,979,584
"28715","ZCTA5 28715",1495,1801,1929,988
"28716","ZCTA5 28716",1123,950,617,344
"28717","ZCTA5 28717",25,73,50,52
"28718","ZCTA5 28718",0,0,0,0
"28719","ZCTA5 28719",317,311,589,393
"28720","ZCTA5 28720",0,0,9,0
"28721","ZCTA5 28721",458,588,570,439
"28722","ZCTA5 28722",205,124,329,178
"28723","ZCTA5 28723",269,192,207,279
"28725","ZCTA5 28725",0,0,4,0
"28726","ZCTA5 28726",205,462,472,289
"28729","ZCTA5 28729",213,28,153,98
"28730","ZCTA5 28730",206,319,336,144
"28731","ZCTA5 28731",473,531,458,145
"28732","ZCTA5 28732",955,1069,1163,628
"28733","ZCTA5 28733",0,0,6,0
"28734","ZCTA5 28734",1284,1253,1887,1147
"28735","ZCTA5 28735",0,0,0,0
"28736","ZCTA5 28736",16,22,35,15
"28739","ZCTA5 28739",983,1102,1090,522
"28740","ZCTA5 28740",97,68,49,33
"28741","ZCTA5 28741",66,170,140,54
"28742","ZCTA5 28742",71,182,168,12
"28743","ZCTA5 28743",64,132,209,32
"28745","ZCTA5 28745",35,61,5,0
"28746","ZCTA5 28746",21,215,116,25
"28747","ZCTA5 28747",65,256,169,58
"28748","ZCTA5 28748",705,1004,824,303
"28749","ZCTA5 28749",0,0,0,0
"28751","ZCTA5 28751",48,225,167,239
"28752","ZCTA5 28752",1413,1954,1879,1283
"28753","ZCTA5 28753",634,412,507,489
"28754","ZCTA5 28754",318,543,299,345
"28755","ZCTA5 28755",0,0,0,0
